iter	MultiClass
0	1.038339117
1	0.9874472435
2	0.947131823
3	0.900069946
4	0.8558008505
5	0.8111485999
6	0.778674331
7	0.7462603079
8	0.713040721
9	0.6848318626
10	0.6596877189
11	0.635811272
12	0.6114637364
13	0.5886965936
14	0.5706137237
15	0.5471971569
16	0.5257803764
17	0.5054142548
18	0.4891236364
19	0.472541545
20	0.4571643916
21	0.4419348493
22	0.4265246976
23	0.4143483536
24	0.4014926527
25	0.3886460863
26	0.378027974
27	0.3686103063
28	0.3586469873
29	0.3463892098
30	0.3362199321
31	0.3270634426
32	0.3197519965
33	0.3110711356
34	0.3036034667
35	0.2967030384
36	0.2876876153
37	0.2803508901
38	0.2738498192
39	0.2669715952
40	0.2597375349
41	0.2540104019
42	0.2479777422
43	0.2421930333
44	0.2372928269
45	0.2326813072
46	0.2272021128
47	0.2223722677
48	0.2176290279
49	0.2133917574
50	0.2088162629
51	0.2047988154
52	0.20057655
53	0.1966003718
54	0.1922505623
55	0.1891249458
56	0.185127619
57	0.1815982812
58	0.1782328722
59	0.1745464363
60	0.1718143555
61	0.1680433415
62	0.1649748074
63	0.1614849067
64	0.1582709843
65	0.1555185815
66	0.1525861265
67	0.1503594254
68	0.1484847005
69	0.1459026811
70	0.1441464487
71	0.142035659
72	0.1398269577
73	0.137885036
74	0.1364498041
75	0.1344281475
76	0.1324792753
77	0.1306823866
78	0.1290915159
79	0.127177347
80	0.1258020901
81	0.1243297324
82	0.1228044103
83	0.1210607103
84	0.1196988946
85	0.1182518201
86	0.1167384836
87	0.11507846
88	0.1130907472
89	0.1113614567
90	0.1104272499
91	0.1091404408
92	0.1078101034
93	0.1065137606
94	0.1054051288
95	0.1039254879
96	0.1028480661
97	0.1017507953
98	0.1005222961
99	0.09903834012
100	0.09766670439
101	0.09616240571
102	0.09508989978
103	0.09406749128
104	0.09260766343
105	0.09141366183
106	0.09035569974
107	0.08952119112
108	0.08837986387
109	0.08761817313
110	0.08675476797
111	0.08560842067
112	0.08465402275
113	0.08354961719
114	0.08276619136
115	0.08200888019
116	0.08080374635
117	0.07994959733
118	0.07916767264
119	0.07842261793
120	0.07750203367
121	0.07673845045
122	0.0758620067
123	0.07523840348
124	0.07439836941
125	0.07350851293
126	0.07272456717
127	0.07219442643
128	0.07136752142
129	0.07076095681
130	0.07008105957
131	0.06938318877
132	0.06865629333
133	0.06787211683
134	0.06706402406
135	0.06648528817
136	0.06598842245
137	0.06540371902
138	0.06469183322
139	0.06406614535
140	0.0635529481
141	0.06291848908
142	0.06244260069
143	0.06196994442
144	0.06123083684
145	0.06070296784
146	0.06017983123
147	0.05954769258
148	0.05900811698
149	0.05849183785
150	0.05807417665
151	0.0576094171
152	0.05720893664
153	0.05683978803
154	0.05637659212
155	0.0559649417
156	0.05543900321
157	0.05503356103
158	0.05457479686
159	0.05423180532
160	0.05386699357
161	0.05341924448
162	0.05303836785
163	0.05264648049
164	0.05221482475
165	0.05187965625
166	0.05142207894
167	0.05108620277
168	0.05077400572
169	0.05030535415
170	0.04997139743
171	0.04967431848
172	0.04933759339
173	0.04896027565
174	0.04850250562
175	0.04818027755
176	0.04784527923
177	0.04755328253
178	0.0471817174
179	0.04686019113
180	0.04660252934
181	0.04616887134
182	0.04575798905
183	0.04542628465
184	0.04517583802
185	0.04478062072
186	0.04451991937
187	0.04423672663
188	0.04402642355
189	0.04371719732
190	0.04345300302
191	0.04311961815
192	0.04277691244
193	0.04253158535
194	0.04228478126
195	0.04204926835
196	0.04179825198
197	0.04163776947
198	0.04139654429
199	0.0411866424
